Player,Position,Team,Target Share,Catch Rate,Proj. Receptions,Final YpC,Proj. Receiving Yards,Proj. RecTDs,ATTD Prob. %,Standard Fantasy Score,PPR Fantasy Score
Kyle Pitts,TE,ATL,0.14539522072416697,0.6520132261564361,3.2090947344992227,11.970804656594844,38.41544619119729,0.1596859847746501,17.83119647407995,4.79966052776763,8.008755262266853
Gabe Davis,WR,JAC,0.1595804457652025,0.5541651928748063,2.894854494696086,13.040035516344496,37.74900542548646,0.1563039463771269,19.68499329020367,4.712724220811407,7.607578715507493
Cade Otton,TE,TB,0.16624160465626814,0.6725409043438401,3.4890654596330624,10.802977971762228,37.692297302452424,0.18074555565896813,17.764629430148382,4.853703064199051,8.342768523832113
Zach Ertz,TE,WAS,0.16659504882527623,0.6966531408804175,3.4303901453188437,10.902171626077577,37.39870210867123,0.1978313463490079,20.768480680011272,4.926858288961171,8.357248434280015
Tyler Conklin,TE,NYJ,0.15203902870599584,0.6255922667596815,3.249592557162827,11.282330293999118,36.66297655083222,0.18735491626481368,19.234578426278016,4.790427152672104,8.04001970983493
Tank Dell,WR,HOU,0.13927668524866454,0.6194195815199103,2.7813952232540053,12.959484607266983,36.045448582486195,0.1448558991236128,18.704909577890415,4.473680252990296,7.2550754762443015
Mike Gesicki,TE,CIN,0.13892546388219215,0.7039408660942343,3.2434616427528615,11.001506192700795,35.6829633485331,0.19178553663703718,20.709877089628993,4.719009554675534,7.962471197428395
Greg Dortch,WR,ARI,0.16927953360561165,0.6815184486015982,3.5915081627291183,9.910646227049485,35.59416682236876,0.17124287156338985,18.0151756717305,4.586873911617216,8.178382074346334
Andrei Iosivas,WR,CIN,0.12574039652513758,0.6152120103966793,2.5656083682520125,13.77175442090175,35.33292838777718,0.15440298573968744,17.34733662980115,4.459710753215843,7.025319121467856
Christian Watson,WR,GB,0.10671963589901856,0.5771032298326926,2.178392278662277,14.456929136967027,31.492862805136667,0.18051268589940506,19.216791875225937,4.232362395910097,6.410754674572374
Isaiah Likely,TE,BAL,0.1327241024480645,0.6879434319791251,2.7306485587503384,11.505249680732105,31.41679345875391,0.1582857011937704,15.952638166052049,4.091393553038014,6.8220421117883525
Noah Fant,TE,SEA,0.12246976114106138,0.6750437480871327,2.8941614957759545,10.571819088880732,30.596551747347846,0.23365623354225284,21.09543731520585,4.461592575988302,7.355754071764256
Xavier Legette,WR,CAR,0.12805511084631513,0.6236685987408909,2.6491242124218255,11.064380888241352,29.31091930649747,0.13006022625939484,15.906915275222735,3.711453288206116,6.360577500627942
Josh Reynolds,WR,DEN,0.1095293732851667,0.5817922519816502,1.8386428850611365,15.82817127034095,29.10235448974148,0.10069765546538749,14.26345364798832,3.5144213817664727,5.353064266827609
Brenton Strange,TE,JAC,0.12150433287266434,0.6080019989360431,2.418268916807719,11.805906995218484,28.549857921259676,0.10010018374794073,12.843229184411598,3.455586894613612,5.873855811421331
Olamide Zaccheaus,WR,WAS,0.12881985157978368,0.6787148173757641,2.584252538288212,10.919587892934889,28.218972729378216,0.12719118682545924,14.517465604111992,3.585044393890577,6.1692969321787885
